Div,Date,HomeTeam,AwayTeam,ScoreHome,ScoreAway,Winner,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,yellowhome,yellowAway,RedHome,RedAway.
F1,12/08/2016,Bastia,Paris SG,0,1,Paris SG,A,0,0,D,10,9,0,6,15,16,2,6,3,3,0,0
F1,12/08/2016,Monaco,Guingamp,2,2,N,N,0,2,A,18,9,4,5,14,15,8,2,3,4,0,0
F1,13/08/2016,Bordeaux,St Etienne,3,2,Bordeaux,H,1,0,H,10,14,6,5,9,20,3,6,1,2,0,0
F1,13/08/2016,Caen,Lorient,3,2,Caen,H,2,2,D,15,8,6,2,13,9,10,2,1,2,0,1
F1,13/08/2016,Dijon,Nantes,0,1,Nantes,A,0,0,D,6,10,2,3,6,11,3,4,0,2,0,0
F1,13/08/2016,Metz,Lille,3,2,Metz,H,0,1,A,7,13,3,4,13,9,4,5,2,2,0,0
F1,13/08/2016,Montpellier,Angers,1,0,Montpellier,H,1,0,H,14,12,3,2,9,12,7,2,1,2,0,0
F1,14/08/2016,Marseille,Toulouse,0,0,N,D,0,0,D,10,6,2,2,14,12,9,6,3,1,0,0
F1,14/08/2016,Nancy,Lyon,0,3,Lyon,A,0,2,A,11,9,1,7,18,14,4,4,4,2,0,0
F1,14/08/2016,Nice,Rennes,1,0,Nice,H,0,0,D,7,19,1,4,12,9,4,8,0,1,0,0
F1,19/08/2016,Lyon,Caen,2,0,Lyon,H,1,0,H,21,7,7,1,17,14,13,3,3,4,0,0
F1,20/08/2016,Angers,Nice,0,1,Nice,A,0,1,A,21,14,6,8,11,10,10,3,1,2,0,0
F1,20/08/2016,Lille,Dijon,1,0,Lille,H,0,0,D,10,7,3,2,12,15,6,5,1,2,0,0
F1,20/08/2016,Lorient,Bastia,0,3,Bastia,A,0,2,A,10,16,3,7,15,11,2,5,2,4,2,0
F1,20/08/2016,Nantes,Monaco,0,1,Monaco,A,0,1,A,8,8,2,3,15,18,10,3,2,4,0,0
F1,20/08/2016,Rennes,Nancy,2,0,Rennes,H,1,0,H,9,8,3,1,11,8,3,7,4,2,0,0
F1,20/08/2016,Toulouse,Bordeaux,4,1,Toulouse,H,2,0,H,11,9,5,2,19,14,3,6,1,3,0,1
F1,21/08/2016,Guingamp,Marseille,2,1,Guingamp,H,1,0,H,14,8,4,3,9,15,4,6,0,1,0,0
F1,21/08/2016,Paris SG,Metz,3,0,Paris SG,H,0,0,D,29,11,8,6,10,6,15,2,1,1,0,0
F1,21/08/2016,St Etienne,Montpellier,3,1,St Etienne,0,1,A,14,13,5,3,9,12,4,6,1,1,0,0
F1,26/08/2016,Marseille,Lorient,2,0,Marseille,1,0,H,13,10,8,5,15,11,3,4,1,1,0,0
F1,27/08/2016,Caen,Bastia,2,0,Caen,0,0,D,17,5,4,1,15,20,5,2,1,5,0,0
F1,27/08/2016,Dijon,Lyon,4,2,Dijon,2,2,D,8,25,5,9,11,9,2,10,2,2,0,0
F1,27/08/2016,Metz,Angers,2,0,Metz,1,0,H,7,23,2,7,9,11,5,9,2,2,0,0
F1,27/08/2016,Montpellier,Rennes,1,1,N,1,0,H,11,12,5,2,13,16,4,4,1,2,0,0
F1,27/08/2016,Nancy,Guingamp,0,2,Guingamp,0,0,D,19,14,3,6,9,10,5,3,2,1,0,0
F1,27/08/2016,Nice,Lille,1,1,N,1,1,D,13,8,6,3,13,13,4,6,2,2,0,0
F1,28/08/2016,Bordeaux,Nantes,1,0,Bordeaux,1,0,H,9,16,7,6,16,16,4,8,2,1,0,0
F1,28/08/2016,Monaco,Paris SG,3,1,Monaco,2,0,H,9,6,2,2,9,10,2,7,1,2,0,0
F1,28/08/2016,St Etienne,Toulouse,0,0,N,0,0,D,16,9,3,2,9,16,7,4,2,1,0,0
F1,09/09/2016,Paris SG,St Etienne,1,1,N,0,0,D,15,5,4,2,11,13,4,1,2,4,0,0
F1,10/09/2016,Angers,Dijon,3,1,Angers,1,1,D,13,7,7,2,13,9,6,1,1,2,1,1
F1,10/09/2016,Bastia,Toulouse,2,1,Bastia,1,0,H,5,8,4,3,15,21,5,1,4,4,0,0
F1,10/09/2016,Guingamp,Montpellier,1,1,N,1,1,D,12,5,4,2,14,14,7,3,1,1,0,0
F1,10/09/2016,Lille,Monaco,1,4,Monaco,0,2,A,6,9,3,6,19,13,8,1,3,1,0,0
F1,10/09/2016,Lorient,Nancy,0,2,Nancy,0,1,A,9,7,2,3,11,20,8,3,0,5,0,0
F1,10/09/2016,Lyon,Bordeaux,1,3,Bordeaux,1,1,D,11,10,4,6,14,7,4,4,2,1,1,0
F1,11/09/2016,Nantes,Metz,0,3,Metz,0,2,A,13,10,3,4,8,19,8,3,1,4,0,0
F1,11/09/2016,Nice,Marseille,3,2,Nice,1,1,D,18,14,7,5,10,15,6,3,2,3,0,0
F1,11/09/2016,Rennes,Caen,2,0,Rennes,0,0,D,5,8,4,4,12,7,2,8,2,1,0,0
F1,16/09/2016,Caen,Paris SG,0,6,Paris SG,0,4,A,13,21,1,7,9,10,4,3,1,1,0,0
F1,17/09/2016,Bordeaux,Angers,0,1,Angers,0,1,A,10,5,4,5,9,17,3,5,0,4,1,0
F1,17/09/2016,Dijon,Metz,0,0,N,0,0,D,16,7,6,3,15,18,8,3,4,3,0,1
F1,17/09/2016,Lorient,Lille,1,0,Lorient,0,0,D,9,10,4,0,12,10,4,2,2,2,0,0
F1,17/09/2016,Monaco,Rennes,3,0,Monaco,1,0,H,17,5,7,3,13,10,3,4,1,1,0,0
F1,17/09/2016,Nancy,Nantes,1,1,N,0,0,D,9,14,2,5,10,18,2,2,0,0,0,0
F1,17/09/2016,Toulouse,Guingamp,2,1,Toulouse,0,0,D,13,5,5,3,18,11,8,1,4,3,0,1,2
F1,18/09/2016,Marseille,Lyon,0,0,N,0,0,D,13,14,2,1,16,12,6,1,3,2,0,0
F1,18/09/2016,Montpellier,Nice,1,1,N,0,0,D,15,9,5,4,18,12,6,3,1,1,0,0
F1,18/09/2016,St Etienne,Bastia,1,0,St Etienne,0,0,D,13,9,3,3,19,11,4,4,2,4,0,0
F1,20/09/2016,Lille,Toulouse,1,2,Toulouse,1,1,D,19,7,5,2,13,21,5,3,2,5,0,0
F1,20/09/2016,Paris SG,Dijon,3,0,Paris SG,2,0,H,8,8,4,4,8,7,5,4,1,0,0,0
F1,21/09/2016,Angers,Caen,2,1,Angers,1,0,H,13,6,5,1,12,11,1,4,0,1,0,0
F1,21/09/2016,Bastia,Nancy,0,0,N,0,0,D,10,4,5,2,12,19,5,3,0,0,0,0
F1,21/09/2016,Guingamp,Lorient,1,0,Guingamp,0,0,D,8,13,4,3,10,14,4,7,1,2,0,0
F1,21/09/2016,Lyon,Montpellier,5,1,Lyon,2,1,H,16,8,8,2,10,15,11,1,0,1,0,1
F1,21/09/2016,Metz,Bordeaux,0,3,Bordeaux,0,1,A,12,20,4,7,16,4,1,6,2,0,0,0
F1,21/09/2016,Nantes,St Etienne,0,0,N,0,0,D,17,6,6,0,16,14,6,2,4,0,0,1
F1,21/09/2016,Nice,Monaco,4,0,Nice,2,0,H,9,17,7,7,12,16,2,6,1,1,0,1
F1,21/09/2016,Rennes,Marseille,3,2,Rennes,1,1,D,13,8,5,4,11,24,4,4,1,1,0,1
F1,23/09/2016,Toulouse,Paris SG,2,0,Toulouse,0,0,D,11,12,3,3,12,11,3,7,3,1,0,1
F1,24/09/2016,Bastia,Guingamp,1,0,Bastia,0,0,D,11,3,6,3,17,17,5,1,1,1,1,1
F1,24/09/2016,Bordeaux,Caen,0,0,N,0,0,D,12,13,2,4,7,16,4,5,0,2,0,0
F1,24/09/2016,Dijon,Rennes,3,0,Dijon,2,0,H,15,19,5,4,7,12,7,3,1,1,0,0
F1,24/09/2016,Lorient,Lyon,1,0,Lorient,0,0,D,11,18,2,8,13,8,3,8,2,1,0,0
F1,24/09/2016,Monaco,Angers,2,1,Monaco,0,0,D,13,11,4,4,10,9,12,7,1,1,0,0
F1,24/09/2016,Montpellier,Metz,0,1,Metz,0,1,A,16,4,2,3,14,20,7,5,2,3,0,0
F1,25/09/2016,Marseille,Nantes,2,1,Marseille,1,1,D,14,13,5,4,13,17,5,5,1,3,0,0,2
F1,25/09/2016,Nancy,Nice,0,1,Nice,0,0,D,15,13,0,4,17,16,6,2,3,1,0,0
F1,25/09/2016,St Etienne,Lille,3,1,St Etienne,0,0,D,9,12,3,3,17,15,4,5,3,1,0,1
F1,30/09/2016,Rennes,Guingamp,1,0,Rennes,0,0,D,13,6,3,1,10,12,6,2,2,1,0,1
F1,01/10/2016,Caen,Toulouse,1,0,Caen,0,0,D,12,9,3,1,11,17,4,2,1,6,0,0
F1,01/10/2016,Dijon,Montpellier,3,3,N,1,2,A,8,15,6,6,12,12,5,4,2,2,0,0
F1,01/10/2016,Lille,Nancy,1,0,Lille,0,0,D,14,5,4,3,14,12,8,4,2,3,0,0
F1,01/10/2016,Metz,Monaco,0,7,Monaco,0,3,A,14,14,2,9,14,12,7,4,2,1,1,0
F1,01/10/2016,Nantes,Bastia,1,0,Nantes,1,0,H,20,12,8,6,19,9,3,2,4,3,0,0
F1,01/10/2016,Paris SG,Bordeaux,2,0,Paris SG,2,0,H,14,6,7,2,8,9,11,2,1,1,0,0
F1,02/10/2016,Angers,Marseille,1,1,N,0,0,D,17,9,5,2,6,12,3,7,1,0,0,0
F1,02/10/2016,Lyon,St Etienne,2,0,Lyon,1,0,H,14,11,7,3,18,15,7,7,3,1,0,0
F1,02/10/2016,Nice,Lorient,2,1,Nice,1,0,H,8,17,2,4,9,14,3,5,2,3,1,0
F1,14/10/2016,Nice,Lyon,2,0,Nice,1,0,H,16,4,6,3,13,22,1,4,3,3,0,1
F1,14/10/2016,Toulouse,Monaco,3,1,Toulouse,0,1,A,17,4,6,1,14,17,6,1,2,1,0,0,3
F1,15/10/2016,Bastia,Angers,1,2,Angers,1,1,D,12,7,3,3,8,11,6,4,2,0,0,0
F1,15/10/2016,Guingamp,Lille,1,0,Guingamp,1,0,H,13,12,4,3,13,21,7,0,1,0,0,0
F1,15/10/2016,Lorient,Nantes,1,2,Nantes,0,1,A,15,5,5,3,12,9,6,1,4,4,0,0
F1,15/10/2016,Montpellier,Caen,3,2,Montpellier,1,1,D,11,12,7,5,13,6,5,2,0,0,1,0
F1,15/10/2016,Nancy,Paris SG,1,2,Paris SG,0,2,A,6,7,3,3,16,10,4,1,1,1,0,0,10,5
F1,16/10/2016,Marseille,Metz,1,0,Marseille,1,0,H,16,11,6,1,14,10,2,6,1,2,0,0
F1,16/10/2016,Rennes,Bordeaux,1,1,N,1,0,H,15,7,4,1,15,11,8,3,1,2,0,0
F1,16/10/2016,St Etienne,Dijon,1,1,N,0,1,A,17,11,3,3,11,8,10,4,1,3,0,1
F1,21/10/2016,Monaco,Montpellier,6,2,Monaco,1,1,D,14,9,9,3,14,10,6,2,2,0,0,0
F1,22/10/2016,Angers,Toulouse,0,0,N,0,0,D,11,6,3,2,14,12,4,2,2,4,0,0
F1,22/10/2016,Bordeaux,Nancy,1,1,N,0,0,D,12,11,2,3,12,16,5,4,1,3,0,0
F1,22/10/2016,Dijon,Lorient,1,0,Dijon,0,0,D,13,15,3,5,7,14,5,5,1,2,0,0
F1,22/10/2016,Lille,Bastia,2,1,Lille,0,0,D,17,5,8,1,17,20,8,4,3,1,0,0
F1,22/10/2016,Lyon,Guingamp,1,3,Guingamp,1,0,H,18,6,6,5,13,20,9,5,1,3,0,0
F1,22/10/2016,Nantes,Rennes,1,2,Rennes,1,0,H,9,7,4,3,12,8,3,0,1,3,0,0
F1,23/10/2016,Caen,St Etienne,0,2,St Etienne,0,0,D,9,13,1,6,7,13,4,5,1,1,0,0
F1,23/10/2016,Metz,Nice,2,4,Nice,1,2,A,9,17,5,8,17,1,4,3,4,0,0,0
F1,23/10/2016,Paris SG,Marseille,0,0,N,0,0,D,17,0,3,0,4,10,9,0,0,2,0,0
F1,28/10/2016,Lille,Paris SG,0,1,Paris SG,0,0,D,10,17,1,7,21,17,2,4,2,1,0,0
F1,29/10/2016,Bastia,Dijon,0,0,N,0,0,D,19,8,11,2,11,25,13,5,1,1,0,0
F1,29/10/2016,Guingamp,Angers,1,0,Guingamp,0,0,D,13,15,5,3,9,12,7,5,1,3,0,0
F1,29/10/2016,Lorient,Montpellier,2,2,N,2,1,H,17,8,3,4,13,9,5,5,2,1,0,0
F1,29/10/2016,Nancy,Caen,2,0,Nancy,2,0,H,11,14,3,5,17,10,4,3,3,3,0,0
F1,29/10/2016,St Etienne,Monaco,1,1,N,1,1,D,8,13,2,6,11,15,4,9,0,4,0,0
F1,29/10/2016,Toulouse,Lyon,1,2,Lyon,1,1,D,12,7,1,3,16,16,3,2,2,2,0,1
F1,30/10/2016,Marseille,Bordeaux,0,0,N,0,0,D,10,5,3,1,13,8,3,0,1,1,0,0
F1,30/10/2016,Nice,Nantes,4,1,Nice,2,0,H,12,16,7,4,12,19,2,4,1,3,0,0
F1,30/10/2016,Rennes,Metz,1,0,Rennes,0,0,D,10,8,4,2,9,17,3,4,0,3,0,0
F1,04/11/2016,Montpellier,Marseille,3,1,Montpellier,2,0,H,13,10,4,2,10,9,1,5,1,1,0,0
F1,05/11/2016,Angers,Lille,1,0,Angers,0,0,D,9,6,1,1,14,12,2,3,0,0,0,0
F1,05/11/2016,Bordeaux,Lorient,2,1,Bordeaux,1,0,H,12,9,6,1,2,10,4,7,3,2,0,1
F1,05/11/2016,Dijon,Guingamp,3,3,N,3,1,H,13,14,7,6,12,17,6,3,0,1,0,0
F1,05/11/2016,Lyon,Bastia,2,1,Lyon,1,0,H,23,10,7,4,7,14,9,3,1,2,0,2
F1,05/11/2016,Monaco,Nancy,6,0,Monaco,2,0,H,16,8,8,1,10,18,4,6,0,1,0,0
F1,05/11/2016,Nantes,Toulouse,1,1,N,0,1,A,13,4,2,4,17,8,6,2,4,2,0,0
F1,06/11/2016,Caen,Nice,1,0,Caen,1,0,H,12,4,7,1,11,18,4,4,2,3,0,0
F1,06/11/2016,Metz,St Etienne,0,0,N,0,0,D,14,8,2,2,17,15,2,1,2,0,0,1
F1,06/11/2016,Paris SG,Rennes,4,0,Paris SG,2,0,H,18,4,6,1,7,10,9,2,1,2,0,0
F1,18/11/2016,Lille,Lyon,0,1,Lyon,0,1,A,14,17,3,3,15,15,5,5,2,3,1,0
F1,18/11/2016,Lorient,Monaco,0,3,Monaco,0,0,D,15,11,3,6,15,12,2,4,0,1,0,0
